"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"Study File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"26"	"0"	"56"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_neg_MetChloroform_1.msf"	"2/18/2020 12:37:18 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"57"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_neg_MetChloroform_2-(1).msf"	"2/18/2020 12:37:19 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"58"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_neg_MetChloroform_3-(1).msf"	"2/18/2020 12:37:21 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"59"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_neg_MetChloroform_4-(1).msf"	"2/18/2020 12:37:23 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"60"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_positive_MetChloroform_1-(1).msf"	"2/18/2020 12:37:24 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"61"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_positive_MetChloroform_2-(1).msf"	"2/18/2020 12:37:26 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"62"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_positive_MetChloroform_3-(1).msf"	"2/18/2020 12:37:28 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"26"	"0"	"63"	""	"Z:\ANALYSIS\rq214\LFQ_RNase_OOPS\LFQ_RNase_OOPS\R_positive_MetChloroform_4-(1).msf"	"2/18/2020 12:37:30 PM"	""	""	"Created with Discoverer version: 2.4.1.15"
"-177"	"1"	"55"	"F17"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_neg_MetChloroform_1.raw"	"2/17/2020 2:02:44 AM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-180"	"1"	"40"	"F18"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_neg_MetChloroform_2.raw"	"2/17/2020 3:34:26 AM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-183"	"1"	"42"	"F19"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_neg_MetChloroform_3.raw"	"2/17/2020 5:06:10 AM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-186"	"1"	"44"	"F20"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_neg_MetChloroform_4.raw"	"2/17/2020 6:37:53 AM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-189"	"1"	"46"	"F21"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_positive_MetChloroform_1.raw"	"2/17/2020 11:42:55 AM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-192"	"1"	"48"	"F22"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_positive_MetChloroform_2.raw"	"2/17/2020 1:14:33 PM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-195"	"1"	"50"	"F23"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_positive_MetChloroform_3.raw"	"2/17/2020 2:46:16 PM"	"40.00 - 90.00"	"Orbitrap Eclipse"	"3.3.2782.34"
"-198"	"1"	"52"	"F24"	"Z:\RAW\rq214\LFQ_RNase_test_Jan2020\R_positive_MetChloroform_4.raw"	"2/17/2020 4:17:54 PM"	"40.00 - 90.01"	"Orbitrap Eclipse"	"3.3.2782.34"
